tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2020-03-01,45,5,13,28,8,45,1,PM10,BAIK
2020-03-02,34,5,15,32,10,34,1,PM10,BAIK
2020-03-03,59,5,23,29,14,59,1,PM10,SEDANG
2020-03-04,56,7,19,55,16,56,1,PM10,SEDANG
2020-03-05,35,6,16,30,13,35,1,PM10,BAIK
2020-03-06,36,10,19,33,16,36,1,PM10,BAIK
2020-03-07,37,7,17,28,17,37,1,PM10,BAIK
2020-03-08,45,7,16,39,11,45,1,PM10,BAIK
2020-03-09,39,6,12,19,11,39,1,PM10,BAIK
2020-03-10,30,5,12,33,11,33,4,O3,BAIK
2020-03-11,40,5,15,38,13,40,1,PM10,BAIK
2020-03-12,48,5,19,39,20,48,1,PM10,BAIK
2020-03-13,34,4,17,36,12,36,4,O3,BAIK
2020-03-14,64,6,19,87,17,87,4,O3,SEDANG
2020-03-15,50,3,17,42,13,50,1,PM10,BAIK
2020-03-16,50,4,20,36,19,50,1,PM10,BAIK
2020-03-17,41,4,21,57,15,57,4,O3,SEDANG
2020-03-18,44,3,15,54,12,54,4,O3,SEDANG
2020-03-19,62,7,26,37,14,62,1,PM10,SEDANG
2020-03-20,48,4,12,51,14,51,4,O3,SEDANG
2020-03-21,43,6,15,37,17,43,1,PM10,BAIK
2020-03-22,34,4,7,42,9,42,4,O3,BAIK
2020-03-23,40,4,12,66,13,66,4,O3,SEDANG
2020-03-24,58,4,20,54,17,58,1,PM10,SEDANG
2020-03-25,33,3,7,63,8,63,4,O3,SEDANG
2020-03-26,49,4,10,42,10,49,1,PM10,BAIK
2020-03-27,43,4,9,62,10,62,4,O3,SEDANG
2020-03-28,58,6,12,67,14,67,4,O3,SEDANG
2020-03-29,61,7,7,56,8,61,1,PM10,SEDANG
2020-03-30,47,6,9,68,12,68,4,O3,SEDANG
2020-03-31,51,11,9,84,10,84,4,O3,SEDANG
2020-03-01,42,8,16,33,5,42,1,PM10,BAIK
2020-03-02,34,7,15,40,8,40,4,O3,BAIK
2020-03-03,55,8,25,33,8,55,1,PM10,SEDANG
2020-03-04,58,8,18,60,4,60,4,O3,SEDANG
