Periode,Region,Produk Promo,Profit Generated
1,Bandung,Go-Ride,4480
2,Bandung,Go-Ride,13226
3,Bandung,Go-Car,5011
4,Bandung,Go-Ride,4485
5,Bandung,Go-Car,6771
6,Bandung,Go-Car,5494
7,Bandung,Go-Ride,2020
8,Bandung,Go-Car,4723
9,Yogyakarta,Go-Ride,3611
10,Bandung,Go-Ride,7518
11,Jakarta,Go-Ride,5506
12,Bandung,Go-Ride,8013
13,Bandung,Go-Ride,2935
14,Bandung,Go-Car,13678
15,Surabaya,Go-Ride,12387
16,Bandung,Go-Car,6019
17,Denpasar,Go-Car,3772
18,Surabaya,Go-Car,11554
19,Surabaya,Go-Car,10860
20,Surabaya,Go-Ride,10867
21,Yogyakarta,Go-Ride,4131
22,Bandung,Go-Car,3207
23,Surabaya,Go-Car,13119
24,Bandung,Go-Car,12696
25,Bandung,Go-Ride,6991
26,Bandung,Go-Ride,3075
27,Yogyakarta,Go-Ride,11036
28,Surabaya,Go-Car,5208
29,Bandung,Go-Ride,14914
30,Bandung,Go-Ride,2889
31,Jakarta,Go-Car,9355
32,Surabaya,Go-Car,3295
33,Jakarta,Go-Ride,9763
34,Yogyakarta,Go-Ride,5690
35,Jakarta,Go-Car,11886
36,Yogyakarta,Go-Car,13200
37,Bandung,Go-Ride,3262
38,Bandung,Go-Ride,13253
39,Yogyakarta,Go-Car,10960
40,Jakarta,Go-Ride,5996
41,Yogyakarta,Go-Car,13597
42,Jakarta,Go-Ride,5944
43,Bandung,Go-Car,8934
44,Bandung,Go-Car,11559
45,Bandung,Go-Ride,14118
46,Bandung,Go-Ride,13348
47,Yogyakarta,Go-Ride,12834
48,Surabaya,Go-Car,11619
49,Yogyakarta,Go-Ride,5253
50,Jakarta,Go-Car,12748
51,Bandung,Go-Ride,10338
52,Jakarta,Go-Car,4924
53,Bandung,Go-Car,3082
54,Surabaya,Go-Ride,14965
55,Jakarta,Go-Ride,14169
56,Surabaya,Go-Ride,14041
57,Bandung,Go-Car,9708
58,Bandung,Go-Ride,14835
59,Jakarta,Go-Car,14617
60,Surabaya,Go-Ride,7788
61,Bandung,Go-Ride,8454
62,Surabaya,Go-Ride,6080
63,Bandung,Go-Ride,3365
64,Bandung,Go-Ride,10898
65,Bandung,Go-Car,10115
66,Bandung,Go-Car,11216
67,Bandung,Go-Ride,8000
68,Bandung,Go-Ride,10001
69,Surabaya,Go-Car,9013
70,Bandung,Go-Ride,5607
71,Surabaya,Go-Ride,7588
72,Jakarta,Go-Car,8702
73,Bandung,Go-Car,13318
74,Surabaya,Go-Ride,6800
75,Jakarta,Go-Car,10493
76,Yogyakarta,Go-Ride,4095
77,Jakarta,Go-Ride,14204
78,Denpasar,Go-Car,12748
79,Denpasar,Go-Car,10172
80,Bandung,Go-Car,14755
81,Bandung,Go-Ride,9688
82,Bandung,Go-Car,11630
83,Bandung,Go-Ride,8001
84,Jakarta,Go-Ride,12944
85,Bandung,Go-Ride,13640
86,Bandung,Go-Ride,14538
87,Yogyakarta,Go-Car,10370
88,Surabaya,Go-Ride,14479
89,Surabaya,Go-Car,8331
90,Jakarta,Go-Ride,7426
91,Jakarta,Go-Ride,14121
92,Jakarta,Go-Car,7490
93,Yogyakarta,Go-Ride,14074
94,Bandung,Go-Ride,10377
95,Jakarta,Go-Ride,9149
96,Jakarta,Go-Car,14058
97,Bandung,Go-Car,6931
98,Surabaya,Go-Car,4387
99,Jakarta,Go-Ride,14436
100,Bandung,Go-Car,10576
