,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,2010.0,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74
1,1989.0,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24
2,2012.0,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82
3,2013.0,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0
4,2000.0,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37
5,1993.0,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26
6,2010.0,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01
7,2010.0,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02
8,2013.0,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62
9,1988.0,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
10,2009.0,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76
11,2009.0,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42
12,2003.0,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1
13,2011.0,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72
14,2013.0,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0
15,2014.0,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82
16,2017.0,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4
17,2008.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81
18,1994.0,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61
19,2009.0,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22
20,2010.0,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36
21,1993.0,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14
22,1992.0,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28
23,2017.0,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38
24,2006.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15
25,2006.0,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85
26,2014.0,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32
27,2009.0,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3
28,2005.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98
29,2015.0,Shooter,Activision,9.03,4.28,0.13,1.32,14.76
30,2002.0,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64
31,2014.0,Shooter,Activision,9.67,3.73,0.11,1.13,14.64
32,2017.0,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35
33,2019.0,Shooter,Activision,5.77,5.81,0.35,2.31,14.24
34,2016.0,Shooter,Activision,4.99,5.88,0.65,2.52,14.03
35,2016.0,Shooter,Activision,8.25,4.3,0.07,1.12,13.73
36,2013.0,Shooter,Activision,8.52,3.63,0.08,1.29,13.51
37,2015.0,Shooter,Activision,5.54,5.82,0.49,1.62,13.46
38,2005.0,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1
39,2012.0,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04
40,2014.0,Shooter,Activision,5.98,4.44,0.48,1.83,12.73
41,2009.0,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27
42,2015.0,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21
43,2011.0,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14
44,2018.0,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98
45,2013.0,Action,Nintendo,4.4,2.77,3.96,0.77,11.9
46,2000.0,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89
47,2008.0,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66
48,2011.0,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52
49,2018.0,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33
50,1996.0,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18
51,2012.0,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02
52,2001.0,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95
53,2015.0,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79
54,2014.0,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77
55,2013.0,Shooter,Activision,4.99,3.69,0.38,1.63,10.69
56,2012.0,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57
57,1997.0,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55
58,2008.0,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49
59,2008.0,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42
60,2015.0,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26
61,2017.0,Shooter,Activision,6.72,2.63,0.04,0.82,10.21
62,2014.0,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88
63,2000.0,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87
64,2016.0,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82
65,2016.0,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76
66,2001.0,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72
67,2017.0,Shooter,Activision,4.09,3.73,0.38,1.38,9.59
68,2014.0,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52
69,2003.0,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49
70,2011.0,Shooter,Activision,5.91,2.38,0.13,0.9,9.32
71,1998.0,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3
72,2017.0,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2
73,2016.0,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09
74,2011.0,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02
75,2015.0,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84
76,1996.0,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76
77,2019.0,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49
78,2014.0,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49
79,2008.0,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49
80,2011.0,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42
81,2016.0,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33
82,2016.0,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24
83,2013.0,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11
84,2001.0,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09
85,2011.0,Sports,Sega,2.58,3.9,0.66,0.91,8.06
86,2005.0,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05
87,2003.0,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86
88,2012.0,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84
89,1986.0,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81
90,2009.0,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72
91,2014.0,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69
92,2019.0,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67
93,2018.0,Shooter,Activision,2.8,3.3,0.14,1.37,7.6
94,2002.0,Action,Nintendo,4.1,1.89,1.45,0.16,7.6
95,2001.0,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58
96,1992.0,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46
97,2018.0,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45
98,2012.0,Shooter,Activision,4.79,1.9,0.0,0.69,7.37
99,2015.0,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34
100,2010.0,Action,Nintendo,3.83,2.19,0.6,0.7,7.31
101,2019.0,Shooter,Activision,4.52,2.09,0.01,0.67,7.3
102,2013.0,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27
103,2015.0,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23
104,2007.0,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2
105,2002.0,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16
106,2002.0,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13
107,2005.0,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07
108,2018.0,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96
109,2019.0,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96
110,2007.0,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95
111,2016.0,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91
112,2017.0,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9
113,2008.0,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9
114,2006.0,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83
115,2015.0,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83
116,2000.0,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82
117,2014.0,Sports,505 Games,3.5,2.64,0.0,0.67,6.81
118,2012.0,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76
119,2013.0,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73
120,2011.0,Shooter,Activision,3.1,2.3,0.28,1.04,6.72
121,2015.0,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69
122,2009.0,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67
123,2014.0,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6
124,2018.0,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59
125,2014.0,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59
126,2015.0,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56
127,1990.0,Action,Nintendo,3.74,0.93,1.69,0.14,6.51
128,2016.0,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5
129,2005.0,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43
130,2008.0,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41
131,2006.0,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4
132,2004.0,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39
133,2013.0,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36
134,2014.0,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34
135,2006.0,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31
136,1996.0,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3
137,2008.0,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28
138,2003.0,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27
139,2014.0,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24
140,2015.0,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24
141,2010.0,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11
142,2005.0,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05
143,1996.0,Platform,Sega,4.47,1.2,0.16,0.19,6.03
144,2012.0,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03
145,2002.0,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03
146,2017.0,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99
147,2010.0,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95
148,2012.0,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92
149,2013.0,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84
150,2011.0,Action,LucasArts,3.66,1.63,0.0,0.53,5.83
151,2002.0,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82
152,2000.0,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74
153,2010.0,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72
154,2018.0,Shooter,Activision,2.49,2.05,0.16,0.96,5.65
155,1992.0,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58
156,2013.0,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57
157,2003.0,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55
158,2011.0,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55
159,2015.0,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53
160,2013.0,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51
161,2012.0,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5
162,2005.0,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49
163,2005.0,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47
164,2005.0,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46
165,2003.0,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45
166,2012.0,Shooter,Activision,2.72,1.87,0.0,0.84,5.43
167,2005.0,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42
168,2018.0,Misc,Sony Computer Entertainment,1.97,2.51,0.0,0.94,5.42
169,2013.0,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36
170,1993.0,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34
171,2003.0,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31
172,2016.0,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3
173,2004.0,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3
174,2007.0,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29
175,2003.0,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27
176,2013.0,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27
177,2011.0,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26
178,2001.0,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24
179,,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23
180,2008.0,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21
181,2016.0,Role-Playing,Activision,2.43,2.15,0.0,0.62,5.2
182,2007.0,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2
183,2016.0,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19
184,1998.0,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19
185,2016.0,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18
186,2011.0,Action,Nintendo,1.9,1.83,0.95,0.49,5.17
187,1999.0,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15
188,2017.0,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15
189,2012.0,Sports,Sega,1.64,2.48,0.44,0.58,5.14
190,2007.0,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13
191,1996.0,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13
192,2014.0,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13
193,2018.0,Shooter,Activision,3.21,1.53,0.01,0.38,5.13
194,2000.0,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12
195,2010.0,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12
196,2013.0,Action,Capcom,1.96,1.43,1.08,0.65,5.11
197,2018.0,Action,Take-Two Interactive,2.66,2.01,0.0,0.41,5.08
198,2010.0,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08
199,2014.0,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08
200,2003.0,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07
201,2000.0,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05
202,2003.0,Sports,Activision,3.42,1.38,0.02,0.2,5.02
203,2018.0,Fighting,Nintendo,2.59,1.06,0.8,0.57,5.02
204,2003.0,Strategy,Eidos Interactive,2.79,1.89,0.0,0.33,5.01
205,2002.0,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5.0
206,2011.0,Shooter,Nintendo,3.06,1.18,0.29,0.46,5.0
207,2011.0,Misc,Activision,3.49,0.01,0.01,1.48,4.98
208,2012.0,Role-Playing,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96
209,2011.0,Role-Playing,Nintendo,1.85,1.2,1.54,0.37,4.96
210,2011.0,Action,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94
211,2009.0,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91
212,2011.0,Action,LucasArts,2.89,1.54,0.0,0.46,4.9
213,2001.0,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88
214,2014.0,Role-Playing,Capcom,0.0,0.0,4.87,0.0,4.87
215,1994.0,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85
216,2014.0,Action,Sony Computer Entertainment,2.74,1.36,0.12,0.63,4.84
217,2014.0,Strategy,Activision,2.56,1.68,0.0,0.59,4.83
218,2011.0,Adventure,Ubisoft,1.91,2.0,0.09,0.83,4.83
219,2018.0,Sports,Electronic Arts,0.57,3.14,0.04,1.07,4.82
220,2003.0,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79
221,2020.0,Sports,Electronic Arts,0.28,3.75,0.06,0.69,4.77
222,2015.0,Action,Warner Bros. Interactive Entertainment,2.99,1.31,0.04,0.41,4.76
223,2004.0,Action,Atari,2.36,2.1,0.02,0.25,4.73
224,2007.0,Racing,Vivendi Games,1.73,2.19,0.0,0.79,4.7
225,2004.0,Sports,Activision,3.05,1.41,0.02,0.2,4.68
