director_name,num_critic_for_reviews,gross,genres,actor_1_name,movie_title,num_voted_users,num_user_for_reviews,language,budget,title_year,imdb_score,movie_facebook_likes
Doug Walker,110,25517500,Documentary,Doug Walker,Star Wars: Episode VII - The Force Awakens             ,8,155,unknown,20000000.0,2009,7.1,0
Peter Sohn,298,123070338,Adventure|Animation|Comedy|Family|Fantasy,A.J. Buckley,The Good Dinosaur ,62836,345,English,20000000.0,2015,6.8,20000
Roland Joffé,10,25517500,Action|Adventure|Romance|Sci-Fi,Tamsin Egerton,The Lovers ,2138,15,English,20000000.0,2015,4.5,677
Hideaki Anno,1,25517500,Action|Adventure|Drama|Horror|Sci-Fi,Mark Chinnery,Godzilla Resurgence ,374,13,Japanese,20000000.0,2016,8.2,0
Rob Cohen,187,144512310,Action|Crime|Thriller,Paul Walker,The Fast and the Furious ,272223,988,English,38000000.0,2001,6.7,14000
unknown,21,25517500,Action|Crime|Drama|Mystery|Thriller,Don Johnson,Miami Vice             ,16769,74,English,1500000.0,2009,7.5,0
Matt Birch,1,25517500,Action|Fantasy,Rupert Grint,Harry Potter and the Deathly Hallows: Part II ,381,2,English,20000000.0,2011,7.5,40
Matt Birch,4,25517500,Fantasy,Rupert Grint,Harry Potter and the Deathly Hallows: Part I ,252,2,English,20000000.0,2010,6.4,25
unknown,29,25517500,Action|Adventure|Crime,George Peppard,The A-Team             ,25402,97,English,20000000.0,2009,7.6,0
Christopher Barnard,110,25517500,Comedy,Mathew Buck,"10,000 B.C.             ",6,155,unknown,20000000.0,2009,7.2,0
David Mamet,97,10200000,Drama|Mystery|Thriller,Ben Gazzara,The Spanish Prisoner ,18697,263,English,10000000.0,1997,7.3,578
Timur Bekmambetov,1,25517500,Adventure|Drama|History,Morgan Freeman,Ben-Hur ,57,1,English,20000000.0,2016,6.1,0
John Milius,166,37567440,Adventure|Fantasy,William Smith,Conan the Barbarian ,113065,337,English,20000000.0,1982,6.9,0
unknown,103,25517500,Crime|Drama|Horror|Mystery|Thriller,Caroline Dhavernas,Hannibal             ,159910,270,English,20000000.0,2009,8.6,59000
Bob Fosse,84,25517500,Comedy|Drama|Music|Musical,Roy Scheider,All That Jazz ,19228,146,English,20000000.0,1979,7.8,0
Pete Travis,432,13401683,Action|Sci-Fi,Wood Harris,Dredd ,203458,588,English,35000000.0,2012,7.1,46000
George A. Romero,127,25517500,Comedy|Fantasy|Horror,Ted Danson,Creepshow ,29932,211,English,8000000.0,1982,6.9,0
Gary Winick,120,82506325,Comedy|Family|Fantasy,Steve Buscemi,Charlotte's Web ,27838,102,English,20000000.0,2006,6.4,0
unknown,95,25517500,Action|Adventure|Crime|Drama|Sci-Fi|Thriller,Elden Henson,Daredevil             ,213483,394,English,20000000.0,2009,8.8,55000
Henry Jaglom,19,821997,Drama|Romance,Vanessa Redgrave,Déjà Vu ,666,40,English,20000000.0,1997,7.0,91
unknown,31,25517500,Comedy|Family|Fantasy,Elizabeth Montgomery,Bewitched             ,11427,71,English,20000000.0,2009,7.6,0
Lucile Hadzihalilovic,63,25517500,Drama|Horror|Mystery|Sci-Fi,Nissim Renard,Evolution ,979,3,French,20000000.0,2015,6.4,257
Lee Tamahori,95,27779888,Action|Adventure|Drama|Thriller,Anthony Hopkins,The Edge ,55913,182,English,20000000.0,1997,6.9,0
Roger Christian,174,21471685,Action|Adventure|Sci-Fi,Richard Tyson,Battlefield Earth ,65464,1308,English,44000000.0,2000,2.4,0
Jacques Perrin,113,19406406,Documentary|Drama,Pedro Armendáriz Jr.,Oceans ,7630,42,French,40000000.0,2009,7.8,0
Peter Hyams,113,1891821,Action|Adventure|Horror|Sci-Fi|Thriller,David Oyelowo,A Sound of Thunder ,16474,301,English,52000000.0,2005,4.2,785
